species,sal,temp,time_1st_hatch,time_last_hatch,time_maturity,source,Data original or derived from plots/figures,location,hatch_success
Neobenedenia girellae,22,26,NA,NA,12,Brazenor and Hutson 2015,Original data files,Australia,0
Neobenedenia girellae,22,24,NA,NA,NA,Brazenor and Hutson 2015,Original data files,Australia,0
Neobenedenia girellae,22,28,NA,NA,NA,Brazenor and Hutson 2015,Original data files,Australia,0
Zeuxapta seriolae,40,10,24,30,NA,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,13
Neobenedenia girellae,35,34,NA,NA,12,Brazenor and Hutson 2015,Original data files,Australia,0
Benedenia seriolae,35,6,NA,NA,NA,"Hoshina and Matsusato, 1967 same data presented in Hoshina 1968",NA,NA,0
Benedenia seriolae,35,9.4,NA,NA,NA,"Hoshina and Matsusato, 1967 same data presented in Hoshina 1968",NA,NA,0
Zeuxapta seriolae,45,28,6,7,NA,Ernst  poster and A Mooney thesis (see photo),Numerical from Table in Ernst poster,Australia,1
Benedenia seriolae,35,33.2,NA,NA,NA,"Hoshina and Matsusato, 1967 same data presented in Hoshina 1968",NA,NA,0
Benedenia seriolae,35,36.3,NA,NA,NA,"Hoshina and Matsusato, 1967 same data presented in Hoshina 1968",NA,NA,0
Zeuxapta seriolae,35,21,6.5,8,25,Tubbs et al. 2005,in text and Figures,New Zealand,89
Zeuxapta seriolae,35,13,14,16,52,Tubbs et al. 2005,in text and Figures,New Zealand,75
