species,temp,onco_longe,onco_infectivity,time_1st_hatch,time_last_hatch,time_maturity,lower_treat,upper_treat
BeNeZe,28,,,,,,6.987909770715194,7.670015901988251
BeZe,28,,,,,,6.987909770715194,9.775190892304368
NeZe,28,,,,,,6.880042264138161,7.670015901988251
BeNe,28,,,,,,6.987909770715194,7.670015901988251
Zeuxapta seriolae,29,3.275444713439302,1.637722356719651,2.7411344063729315,4.920232696509909,10.917946053590981,6.55795505322956,9.917946053590981
Neobenedenia girellae,29,0.46379693237287734,0.23189846618643867,4.660536193727415,6.704208926030178,8.394082601462811,6.936107392216617,7.394082601462811
Benedenia seriolae,29,3.28206896420725,1.641034482103625,3.8913176516999095,4.998337229222049,10.068577997052156,6.639371711325674,9.068577997052156
BeNeZe,29,,,,,,6.936107392216617,7.394082601462811
BeZe,29,,,,,,6.639371711325674,9.068577997052156
NeZe,29,,,,,,6.936107392216617,7.394082601462811
BeNe,29,,,,,,6.936107392216617,7.394082601462811
Neobenedenia girellae,30,0.39384773413360913,0.19692386706680456,4.539476850739338,6.8167054056262195,8.135848140697735,7.0136292726930245,7.135848140697735
Benedenia seriolae,30,3.2408012859066426,1.6204006429533213,3.6506411623107224,4.701589718286522,9.429964026527294,6.321990361239843,8.429964026527294
BeNe,30,,,,,,7.0136292726930245,7.135848140697735
