species,sal,temp,source,data_original_or_derived_from_plots_figures,location,name,value
Benedenia seriolae,40,22,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,time_1st_hatch,6
Benedenia seriolae,40,22,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,time_last_hatch,7
Benedenia seriolae,40,22,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 3 Ernst et al. 2005; Ernst poster,Japan,hatch_success,91
Benedenia seriolae,35,22,Ernst et al. 2005,From text and Figure 1 in Ernst et al. 2005,Japan,time_1st_hatch,6
Benedenia seriolae,35,22,Ernst et al. 2005,From text and Figure 1 in Ernst et al. 2005,Japan,time_last_hatch,7
Benedenia seriolae,35,22,Ernst et al. 2005,From text and Figure 1 in Ernst et al. 2005,Japan,hatch_success,91
Benedenia seriolae,35,16,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 1 in Ernst et al. 2005; from IE poster,Japan,time_1st_hatch,11
Benedenia seriolae,35,16,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 1 in Ernst et al. 2005; from IE poster,Japan,time_last_hatch,13
Benedenia seriolae,35,16,Ernst et al. 2005; TLH from Ernst poster (see photo),From Figure 1 in Ernst et al. 2005; from IE poster,Japan,hatch_success,92
Benedenia seriolae,35,28,Ernst et al. 2005; also Ernst poster (see photo),From text and Figure 1 in Ernst et al. 2005,Japan,time_1st_hatch,5
Benedenia seriolae,35,28,Ernst et al. 2005; also Ernst poster (see photo),From text and Figure 1 in Ernst et al. 2005,Japan,time_last_hatch,6
Benedenia seriolae,35,28,Ernst et al. 2005; also Ernst poster (see photo),From text and Figure 1 in Ernst et al. 2005,Japan,hatch_success,92
Benedenia seriolae,35,20,Ernst et al. 2005,From Figure 1 in Ernst et al. 2005,Japan,time_1st_hatch,7
